ID,PRODUCT,SEGMENT,SCORE
APP200000,Personal Loan,NewToCredit,666
APP200001,Personal Loan,MicroBiz,594
APP200002,Personal Loan,Salaried,632
APP200003,Nano Loan,SelfEmployed,609
APP200004,Personal Loan,Salaried,797
APP200005,Personal Loan,Salaried,824
APP200006,Personal Loan,Salaried,726
APP200007,Personal Loan,Salaried,814
APP200008,Nano Loan,NewToCredit,504
APP200009,Nano Loan,MicroBiz,494
APP200010,Nano Loan,MicroBiz,720
APP200011,Nano Loan,Existing,571
APP200012,Personal Loan,Existing,684
APP200013,Nano Loan,Salaried,723
APP200014,Personal Loan,Salaried,690
APP200015,Personal Loan,Salaried,819
APP200016,Personal Loan,MicroBiz,511
APP200017,Personal Loan,Existing,685
APP200018,Personal Loan,Informal,440
APP200019,Personal Loan,NewToCredit,623
APP200020,Nano Loan,SelfEmployed,604
APP200021,Personal Loan,NewToCredit,787
APP200022,Nano Loan,MicroBiz,347
APP200023,Personal Loan,Salaried,690
APP200024,Nano Loan,MicroBiz,695
APP200025,Nano Loan,MicroBiz,609
APP200026,Personal Loan,Informal,602
APP200027,Personal Loan,Salaried,631
APP200028,Nano Loan,MicroBiz,577
APP200029,Nano Loan,Existing,622
APP200030,Personal Loan,Informal,583
APP200031,Nano Loan,MicroBiz,548
APP200032,Personal Loan,NewToCredit,621
APP200033,Personal Loan,Existing,610
APP200034,Personal Loan,Existing,659
APP200035,Nano Loan,Salaried,710
APP200036,Nano Loan,MicroBiz,634
APP200037,Nano Loan,Informal,501
APP200038,Personal Loan,Existing,705
APP200039,Personal Loan,NewToCredit,702
APP200040,Nano Loan,Salaried,721
APP200041,Personal Loan,Existing,540
APP200042,Personal Loan,SelfEmployed,687
APP200043,Personal Loan,SelfEmployed,535
APP200044,Nano Loan,SelfEmployed,601
APP200045,Personal Loan,SelfEmployed,736
APP200046,Nano Loan,MicroBiz,524
APP200047,Personal Loan,NewToCredit,719
APP200048,Personal Loan,Salaried,776
APP200049,Personal Loan,MicroBiz,675
APP200050,Personal Loan,Salaried,767
APP200051,Nano Loan,SelfEmployed,474
APP200052,Nano Loan,MicroBiz,461
APP200053,Nano Loan,MicroBiz,554
APP200054,Personal Loan,MicroBiz,489
APP200055,Nano Loan,MicroBiz,522
APP200056,Personal Loan,Salaried,634
APP200057,Nano Loan,Informal,300
APP200058,Personal Loan,Informal,678
APP200059,Nano Loan,Informal,661
APP200060,Personal Loan,MicroBiz,433
APP200061,Nano Loan,MicroBiz,509
APP200062,Personal Loan,Salaried,731
APP200063,Personal Loan,SelfEmployed,528
APP200064,Personal Loan,Existing,722
APP200065,Nano Loan,Salaried,602
APP200066,Personal Loan,Salaried,583
